kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
low,2025-03-14 23:59:59.999000+00:00,2025-03-11 23:59:59.999000+00:00,76560.0,1437,3,7220.169642857144,8710.199999999997,7379.800000000003,close,confluence,LL,True,78200.2,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2025-04-11 23:59:59.999000+00:00,2025-04-07 23:59:59.999000+00:00,74457.0,1464,4,5485.616071428569,9843.0,8921.300000000003,close,confluence,LL,True,76560.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2025-05-12 23:59:59.999000+00:00,2025-05-05 23:59:59.999000+00:00,93445.1,1492,7,3412.2321428571427,12418.0,9294.199999999997,close,forced_maturity,HL,False,74457.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2025-06-12 23:59:59.999000+00:00,2025-06-05 23:59:59.999000+00:00,100305.1,1523,7,3505.8839285714303,8477.0,5304.399999999994,close,forced_maturity,HL,False,93445.1,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2025-06-25 23:59:59.999000+00:00,2025-06-22 23:59:59.999000+00:00,98115.4,1540,3,4043.8482142857147,9980.300000000003,9164.600000000006,close,confluence,LL,True,100305.1,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2025-07-14 23:59:59.999000+00:00,2025-07-07 23:59:59.999000+00:00,107456.0,1555,7,3653.1785714285706,15844.0,12360.5,close,forced_maturity,HL,False,98115.4,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2025-08-09 23:59:59.999000+00:00,2025-08-02 23:59:59.999000+00:00,111910.0,1581,7,3110.750000000001,5996.699999999997,4512.100000000006,close,forced_maturity,HL,False,107456.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2025-09-03 23:59:59.999000+00:00,2025-08-29 23:59:59.999000+00:00,107411.4,1608,5,4072.1785714285734,5129.800000000003,4248.400000000009,close,confluence,LL,True,111910.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2025-10-02 23:59:59.999000+00:00,2025-09-25 23:59:59.999000+00:00,108574.1,1635,7,3158.8303571428596,12424.899999999994,11907.199999999997,close,forced_maturity,HL,False,107411.4,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2025-10-13 23:59:59.999000+00:00,2025-10-10 23:59:59.999000+00:00,101516.5,1650,3,6066.491071428573,14395.5,13595.399999999994,close,confluence,LL,True,108574.1,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2025-10-29 23:59:59.999000+00:00,2025-10-22 23:59:59.999000+00:00,106360.3,1662,7,4591.473214285716,7232.699999999997,3625.300000000003,wick_override,forced_maturity,HL,False,101516.5,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2025-11-09 23:59:59.999000+00:00,2025-11-05 23:59:59.999000+00:00,98909.7,1676,4,5077.642857142859,6530.300000000003,5760.900000000009,close,confluence,LL,True,106360.3,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
low,2025-11-24 23:59:59.999000+00:00,2025-11-21 23:59:59.999000+00:00,80600.0,1692,3,5806.937500000002,8577.300000000003,7647.100000000006,close,confluence,LL,True,98909.7,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
low,2025-12-25 23:59:59.999000+00:00,2025-12-18 23:59:59.999000+00:00,84408.6,1719,7,3592.0624999999977,4185.399999999994,2774.199999999997,wick_override,forced_maturity,HL,False,80600.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2026-01-15 23:59:59.999000+00:00,2026-01-08 23:59:59.999000+00:00,89242.0,1740,7,3125.7857142857147,7913.0,6325.300000000003,close,forced_maturity,HL,False,84408.6,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2026-01-28 23:59:59.999000+00:00,2026-01-25 23:59:59.999000+00:00,86021.7,1757,3,2811.669642857144,4571.0,3240.0,close,confluence,LL,True,89242.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
