category,windows,total_pnl,weekly_win_rate,positive_weeks,worst_week_pnl,best_week_pnl,total_trades,resolved_trades,short_trades,long_trades,active_weeks,trade_win_rate,profit_factor,sortino_ratio,max_drawdown_pct,pnl_to_mdd,weekly_omega_ratio,coverage_penalty,preference_eligible,preference_score
oos4,4,-2.6042,0.5,2,-7.3069,4.8329,40,40,23,17,4,0.3,0.931,-1.2401,15.5113,-0.1679,0.7687,0.5,False,0.0
oos3,6,29.5737,0.6667,4,-2.8946,17.4364,71,71,68,3,6,0.4085,1.485,21.3853,13.5012,2.1904,6.3389,0.8875,True,12.323
oos5,8,16.3314,0.375,3,-12.4701,19.4976,120,120,94,26,8,0.3417,1.1383,2.2383,30.0455,0.5436,1.5513,1.0,True,0.8432
holdout,7,69.3306,0.7143,5,-9.7207,30.3283,96,96,81,15,7,0.4583,1.9892,19.1387,21.8413,3.1743,7.6615,1.0,True,24.3199
oos2,4,106.5381,0.75,3,-1.6637,81.3788,77,77,62,15,4,0.6234,3.1859,221.3285,12.9778,8.2093,65.0352,0.9625,True,513.871
ALL,29,219.1696,0.5862,17,-12.4701,81.3788,404,404,328,76,29,0.4307,1.6531,12.8975,33.1766,6.6061,4.747,1.0,True,31.3595
