window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
Apr25_W4,holdout,AVAX/USDT,LONG,2025-04-24T21:59:59.999000+00:00,2025-04-24T22:00:14.999000+00:00,2025-04-25T02:59:59.999000+00:00,5.0,22.193,21.771333000000002,23.102913,21.771333000000002,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 11.27, ""rsi"": 50.52, ""atr_ratio"": 0.964, ""pullback_depth"": 0.075, ""mom_slope"": 0.004267, ""reclaim_strength"": 0.658}"
Apr25_W4,holdout,DOGE/USDT,LONG,2025-04-25T03:29:59.999000+00:00,2025-04-25T03:30:14.999000+00:00,2025-04-26T00:59:59.999000+00:00,21.5,0.17919,0.18653678999999998,0.18653678999999998,0.17578538999999999,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 12.0, ""rsi"": 51.25, ""atr_ratio"": 1.121, ""pullback_depth"": 0.2, ""mom_slope"": 0.000137, ""reclaim_strength"": 1.031}"
Apr25_W4,holdout,ETH/USDT,LONG,2025-04-25T04:14:59.999000+00:00,2025-04-25T04:15:14.999000+00:00,2025-04-26T08:29:59.999000+00:00,28.25,1766.01,1838.4164099999998,1838.4164099999998,1732.45581,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 11.57, ""rsi"": 50.65, ""atr_ratio"": 0.816, ""pullback_depth"": 0.132, ""mom_slope"": 0.243017, ""reclaim_strength"": 0.874}"
Apr25_W4,holdout,AVAX/USDT,LONG,2025-04-25T11:14:59.999000+00:00,2025-04-25T11:15:14.999000+00:00,2025-04-26T11:44:59.999000+00:00,24.5,22.379,21.953799,23.296539,21.953799,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.11, ""rsi"": 52.67, ""atr_ratio"": 0.859, ""pullback_depth"": 0.52, ""mom_slope"": 0.000585, ""reclaim_strength"": 1.319}"
Apr25_W4,holdout,LINK/USDT,LONG,2025-04-25T11:14:59.999000+00:00,2025-04-25T11:15:14.999000+00:00,2025-04-25T13:44:59.999000+00:00,2.5,15.113,14.825852999999999,15.732632999999998,14.825852999999999,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 12.66, ""rsi"": 54.16, ""atr_ratio"": 0.947, ""pullback_depth"": 0.176, ""mom_slope"": 0.002681, ""reclaim_strength"": 1.402}"
Apr25_W4,holdout,INJ/USDT,LONG,2025-04-25T14:14:59.999000+00:00,2025-04-25T14:15:14.999000+00:00,2025-04-25T19:14:59.999000+00:00,5.0,10.185,9.991485,10.602585,9.991485,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 16.69, ""rsi"": 54.55, ""atr_ratio"": 1.054, ""pullback_depth"": 0.774, ""mom_slope"": 0.002008, ""reclaim_strength"": 1.056}"
Apr25_W4,holdout,ALGO/USDT,LONG,2025-04-25T16:44:59.999000+00:00,2025-04-25T16:45:14.999000+00:00,2025-04-27T01:29:59.999000+00:00,32.75,0.2296,0.22523759999999998,0.2390136,0.22523759999999998,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 13.65, ""rsi"": 54.46, ""atr_ratio"": 1.142, ""pullback_depth"": 0.054, ""mom_slope"": 0.00012, ""reclaim_strength"": 1.566}"
Apr25_W4,holdout,ADA/USDT,LONG,2025-04-25T16:44:59.999000+00:00,2025-04-25T16:45:14.999000+00:00,2025-04-25T21:59:59.999000+00:00,5.25,0.7232,0.7094592,0.7528511999999999,0.7094592,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.39, ""rsi"": 53.43, ""atr_ratio"": 1.025, ""pullback_depth"": 0.926, ""mom_slope"": 3.8e-05, ""reclaim_strength"": 1.424}"
Apr25_W4,holdout,APT/USDT,SHORT,2025-04-25T19:29:59.999000+00:00,2025-04-25T19:30:14.999000+00:00,2025-04-26T01:44:59.999000+00:00,6.25,5.5273,5.6046822,5.355953700000001,5.6046822,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.0,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.001357, ""rsi"": 48.4, ""atr_ratio"": 0.82, ""sq_count"": 8.5}"
OOS2_BULL25,oos2,RENDER/USDT,LONG,2025-05-10T11:59:59.999000+00:00,2025-05-10T12:00:14.999000+00:00,2025-05-10T17:14:59.999000+00:00,5.25,5.027,5.2331069999999995,5.2331069999999995,4.931487,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 19.34, ""rsi"": 52.33, ""atr_ratio"": 1.031, ""pullback_depth"": 0.481, ""mom_slope"": 0.002865, ""reclaim_strength"": 0.462}"
