symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
BNB/USDT,1,1,0,1.0,6.6611,6.6611,inf,9.0,0,0,0.0,1,1,6.6611,1,0,0,0
LINK/USDT,1,1,0,1.0,3.1308,3.1308,inf,1.75,1,1,3.1308,0,0,0.0,1,0,0,0
DOGE/USDT,2,1,1,0.5,1.0894,0.5447,1.7047,0.87,1,1,2.6353,1,0,-1.5459,1,1,0,0
ETH/USDT,2,1,1,0.5,0.6177,0.3088,1.287,2.87,1,1,2.7696,1,0,-2.1519,1,1,0,0
XRP/USDT,1,0,1,0.0,-1.0886,-1.0886,0.0,1.75,1,0,-1.0886,0,0,0.0,0,1,0,0
ALGO/USDT,1,0,1,0.0,-1.9018,-1.9018,0.0,1.0,0,0,0.0,1,0,-1.9018,0,1,0,0
SOL/USDT,1,0,1,0.0,-2.1984,-2.1984,0.0,5.0,0,0,0.0,1,0,-2.1984,0,1,0,0
NEAR/USDT,2,0,2,0.0,-2.4879,-1.2439,0.0,4.37,1,0,-1.1589,1,0,-1.329,0,2,0,0
