removed,count,pnl,pf,dd,wr,trades,pref,delta_pnl,delta_pf,delta_dd,delta_pref
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",13,194.48717233183163,1.6829497378119835,40.17935911016279,43.373493975903614,332,18.526864226816752,14.424018253812278,0.3010053824501189,-21.839295104523913,12.306487610329519
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,SUI/USDT,BTC/USDT",14,192.73997307032218,1.6146113122984618,41.28608503659627,42.13483146067416,356,15.893324364493381,12.676818992302827,0.2326669569365971,-20.732569178090436,9.672947748006148
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT",14,199.350762238004,1.661656245780641,44.070750989011955,42.857142857142854,357,15.866297156935005,19.287608159984643,0.2797118904187763,-17.94790322567475,9.645920540447772
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,BTC/USDT",14,206.98186365215722,1.6575506949896153,44.38441040696534,43.333333333333336,360,15.703380389944298,26.918709574137864,0.2756063396277506,-17.63424380772137,9.483003773457066
"SOL/USDT,XMR/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",14,187.13838302114306,1.6298437964747798,42.71692893910046,42.608695652173914,345,14.863567622621265,7.0752289431237045,0.24789944111291518,-19.301725275586243,8.643191006134032
"SOL/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",14,180.46803735941717,1.5680588104509185,41.69503679580632,41.73669467787115,357,14.817813427282536,0.40488328139781515,0.1861144550890539,-20.32361741888039,8.597436810795303
"SOL/USDT,XMR/USDT,TRX/USDT,LTC/USDT,SUI/USDT,BTC/USDT",14,199.53817736626746,1.63085319965561,45.699488346261326,42.65927977839335,361,14.113426989459903,19.47502328824811,0.24890884429374527,-16.31916586842538,7.89305037297267
"XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",14,187.19837424520085,1.5996378348884768,45.23994940591216,42.73504273504273,351,14.092526348911118,7.135220167181501,0.2176934795266121,-16.77870480877455,7.872149732423885
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,SUI/USDT",15,197.01022428636344,1.5957276955624928,45.10548329889143,41.732283464566926,381,13.676885496706698,16.947070208344087,0.21378334020062817,-16.913170915795277,7.456508880219465
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,BTC/USDT",15,204.04798701038553,1.5918122296291204,45.41333978653927,42.1875,384,13.661905500040643,23.984832932366174,0.20986787426725573,-16.605314428147437,7.44152888355341
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT",15,210.3679067212652,1.6321723060835525,48.7762148835263,42.857142857142854,385,13.420229597216418,30.30475264324585,0.2502279507216878,-13.242439331160405,7.199852980729185
"SOL/USDT,XMR/USDT,ETH/USDT,SUI/USDT,BTC/USDT",15,185.9845224497647,1.5695728225674253,43.776707954266385,41.46341463414634,369,13.068732427311815,5.921368371745359,0.1876284672055606,-18.24194626042032,6.848355810824582
"SOL/USDT,XMR/USDT,ETH/USDT,LTC/USDT,BTC/USDT",15,199.63307434146864,1.6102737579525295,46.743603489328976,42.62734584450402,373,13.008293840398942,19.56992026344929,0.2283294025906648,-15.27505072535773,6.787917223911709
"SOL/USDT,XMR/USDT,ETH/USDT,LTC/USDT,SUI/USDT",15,192.00197292731545,1.6121847835261032,46.706533260136204,42.16216216216216,370,12.986847675210031,11.938818849296098,0.2302404281642385,-15.312120954550501,6.766471058722798
"SOL/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT",15,185.33162726558953,1.554540066948393,45.48783234153149,41.361256544502616,382,12.938941582224919,5.26847318757018,0.17259571158652842,-16.53082187315522,6.718564965737686
"SOL/USDT,XMR/USDT,TRX/USDT,LTC/USDT,BTC/USDT",15,212.03286868659302,1.6122796160796882,49.51650590993283,42.673521850899746,389,12.686444670679919,31.969714608573668,0.2303352607178235,-12.502148304753874,6.466068054192686
"SOL/USDT,TRX/USDT,ETH/USDT,LTC/USDT,BTC/USDT",15,191.7760512994805,1.5496889943708458,45.7935445597623,41.81818181818181,385,12.639711383564814,11.712897221461162,0.16774463900898118,-16.225109654924402,6.419334767077581
"SOL/USDT,TRX/USDT,ETH/USDT,SUI/USDT,BTC/USDT",15,177.53416071764548,1.510595078648509,42.77372156845296,40.68241469816273,381,12.637660518304303,-2.5289933603738746,0.1286507232866443,-19.244932646233742,6.41728390181707
"XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT",15,192.06196415137322,1.584305948536603,48.37649025070064,42.28723404255319,376,12.583356795601107,11.998810073353866,0.20236159317473823,-13.642163963986064,6.362980179113874
"SOL/USDT,XMR/USDT,TRX/USDT,LTC/USDT,SUI/USDT",15,204.0258137777745,1.6130321715870297,49.24332990052774,42.2279792746114,386,12.45834578938598,23.962659699755136,0.23108781622516505,-12.775324314158965,6.237969172898747
"SOL/USDT,XMR/USDT,TRX/USDT,SUI/USDT,BTC/USDT",15,197.8251187439156,1.5732631447653014,46.68572770971201,41.55844155844156,385,12.4186728528206,17.761964665896244,0.19131878940343672,-15.332926504974694,6.198296236333368
"XMR/USDT,TRX/USDT,ETH/USDT,SUI/USDT,BTC/USDT",15,185.45117498369137,1.5438338920777943,46.25305068372852,41.6,375,12.341191602709742,5.388020905672022,0.16188953671592965,-15.765603530958188,6.120814986222509
"XMR/USDT,TRX/USDT,ETH/USDT,LTC/USDT,BTC/USDT",15,198.31537579112734,1.577413427097092,49.089269947089484,42.74406332453825,379,12.315656131238633,18.252221713107986,0.19546907173522743,-12.929384267597221,6.0952795147514
"SOL/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,173.1192480487286,1.524546543705834,44.168312128592326,41.08108108108108,370,11.938819660407244,-6.943906029290758,0.14260218834396943,-17.85034208609438,5.718443043920011
"SOL/USDT,TRX/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,185.51904239385297,1.5312440968410064,47.07530232298152,41.19170984455959,386,11.813503379209742,5.455888315833619,0.1492997414791417,-14.943351891705184,5.593126762722509
"SOL/USDT,XMR/USDT,TRX/USDT,ETH/USDT",16,206.8406913893624,1.5692269900822247,49.72389264483371,41.80929095354523,409,11.724086125064984,26.777537311343053,0.18728263472036,-12.294761569852994,5.503709508577751
"TRX/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,173.1792392727864,1.5018189661162307,46.62740673695309,41.22340425531915,376,11.56734306692114,-6.883914805232962,0.119874610754366,-15.391247477733614,5.346966450433907
"XMR/USDT,ETH/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,179.84958493451228,1.5541861175059966,47.562850835112066,42.032967032967036,364,11.559900020663394,-0.21356914350707257,0.1722417621441319,-14.45580337957464,5.339523404176161
"SOL/USDT,XMR/USDT,ETH/USDT,BTC/USDT",16,197.2925363898281,1.5515250014244861,47.72888605885748,41.56171284634761,397,11.538024080874438,17.229382311808735,0.16958064606262147,-14.289768155829222,5.317647464387205
"SOL/USDT,XMR/USDT,ETH/USDT,SUI/USDT",16,190.25477366580597,1.5536423988593675,47.69250165621439,41.11675126903553,394,11.440265236593609,10.191619587786619,0.17169804349750284,-14.326152558472316,5.219888620106376
"SOL/USDT,XMR/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,191.74148409384887,1.5826409542636573,49.37949329471272,41.97860962566845,374,11.384114585666062,11.678330015829516,0.2006965989017926,-12.639160919973989,5.163737969178829
"SOL/USDT,XMR/USDT,ETH/USDT,LTC/USDT",16,203.01911741057663,1.5882678964186334,51.19024237464019,42.211055276381906,398,11.300936739108993,22.955963332557275,0.20632354105676876,-10.828411840046513,5.08056012262176
"XMR/USDT,TRX/USDT,LTC/USDT,SUI/USDT,BTC/USDT",15,192.24937927963666,1.5593369847370127,50.293097479188894,42.10526315789473,380,11.299463187837143,12.186225201617304,0.177392629375148,-11.725556735497811,5.07908657134991
"SOL/USDT,XMR/USDT,TRX/USDT,BTC/USDT",16,209.13313268397897,1.5557993130981667,50.433418247585294,41.64648910411623,413,11.237966002925571,29.06997860595962,0.173854957736302,-11.585235967101411,5.017589386438338
"SOL/USDT,TRX/USDT,ETH/USDT,SUI/USDT",16,181.80441193368677,1.4983548867528942,46.49634760242301,40.39408866995074,406,11.198354025627598,1.7412578556674134,0.11641053139102953,-15.522306612263698,4.977977409140365
"SOL/USDT,XMR/USDT,TRX/USDT,LTC/USDT",16,215.0429582610357,1.5903012925936586,53.51361213714279,42.270531400966185,414,11.114124179812997,34.97980418301634,0.20835693723179394,-8.505042077543912,4.893747563325764
"SOL/USDT,XMR/USDT,TRX/USDT,SUI/USDT",16,201.71941646529154,1.5569364220661235,50.1652038292486,41.21951219512195,410,11.090645554340957,21.656262387272193,0.17499206670425882,-11.853450385438109,4.870268937853725
"SOL/USDT,TRX/USDT,ETH/USDT,BTC/USDT",16,188.43109996343168,1.4967863786969882,46.79640391939782,40.831295843520785,409,11.065688641962648,8.367945885412325,0.1148420233351235,-15.222250295288887,4.845312025475415
"XMR/USDT,TRX/USDT,ETH/USDT,SUI/USDT",16,189.72142619973266,1.5297769682944704,49.33156321219324,41.25,400,11.045837181522266,9.65827212171331,0.14783261293260574,-12.687091002493467,4.8254605650350335
