category,windows,total_pnl,weekly_win_rate,positive_weeks,worst_week_pnl,best_week_pnl,total_trades,resolved_trades,short_trades,long_trades,active_weeks,trade_win_rate,profit_factor,sortino_ratio,max_drawdown_pct,pnl_to_mdd,weekly_omega_ratio,coverage_penalty,preference_eligible,preference_score
oos4,4,-5.5994,0.25,1,-7.3952,4.9581,37,37,20,17,4,0.2703,0.8521,-2.647,16.4297,-0.3408,0.4696,0.4625,False,0.0
oos3,6,36.84,0.6667,4,-3.9763,23.5351,65,65,62,3,6,0.4462,1.6433,26.0307,10.7543,3.4256,8.8196,0.8125,True,24.5476
oos5,8,17.1311,0.375,3,-11.3923,28.5389,112,112,86,26,8,0.3393,1.1498,2.5025,35.9386,0.4767,1.4985,1.0,True,0.7143
holdout,7,78.4503,0.7143,5,-9.718,47.9011,88,88,73,15,7,0.4773,2.2071,18.8225,17.8918,4.3847,6.1241,1.0,True,26.8524
oos2,4,103.3948,0.75,3,-6.1601,87.3104,73,73,58,15,4,0.6164,2.9798,59.776,12.2542,8.4375,17.7847,0.9125,True,136.928
ALL,29,230.2168,0.5517,16,-11.3923,87.3104,375,375,299,76,29,0.4373,1.7046,13.2449,30.725,7.4928,4.2376,1.0,True,31.7515
